ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,MD5_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
96,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24FENDANTS%20REQUESTED%20%20JURY%20INSTRUCTIONS.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$FENDANTS REQUESTED  JURY INSTRUCTIONS.doc,~$FENDANTS REQUESTED  JURY INSTRUCTIONS.doc,Signature,Done,162,File,doc,2008-05-31T14:26:38,FALSE,aae0f80074a030d1618a51ff66518a7f,1,fmt/473,,Microsoft Office Owner File,
97,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24FENDANTSREQUESTEDJURYINSTRUCTIONS%28Eps%29%2B3.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$FENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+3.doc,~$FENDANTSREQUESTEDJURYINSTRUCTIONS(Eps)+3.doc,Signature,Done,162,File,doc,2008-05-09T13:04:26,FALSE,59bba8649025f8b5e66041a566525d24,1,fmt/473,,Microsoft Office Owner File,
101,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24MORANDUM%20IN%20SUPPORT%20OF%20JURY%20INSTRUCTION.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$MORANDUM IN SUPPORT OF JURY INSTRUCTION.doc,~$MORANDUM IN SUPPORT OF JURY INSTRUCTION.doc,Signature,Done,162,File,doc,2008-05-31T14:47:34,FALSE,aae0f80074a030d1618a51ff66518a7f,1,fmt/473,,Microsoft Office Owner File,
102,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24MORANDUMINSUPPORTOFJURYINSTRUCTION%28Eps%29%2B3.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$MORANDUMINSUPPORTOFJURYINSTRUCTION(Eps)+3.doc,~$MORANDUMINSUPPORTOFJURYINSTRUCTION(Eps)+3.doc,Signature,Done,162,File,doc,2008-05-09T13:07:52,FALSE,59bba8649025f8b5e66041a566525d24,1,fmt/473,,Microsoft Office Owner File,
93,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24arf%20with%20dissent.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$arf with dissent.doc,~$arf with dissent.doc,Signature,Done,162,File,doc,2008-06-08T12:40:30,FALSE,aae0f80074a030d1618a51ff66518a7f,1,fmt/473,,Microsoft Office Owner File,
95,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24arf.honda%20cite.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$arf.honda cite.doc,~$arf.honda cite.doc,Signature,Done,162,File,doc,2008-06-08T11:33:30,FALSE,aae0f80074a030d1618a51ff66518a7f,1,fmt/473,,Microsoft Office Owner File,
98,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24hebert.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$hebert.doc,~$hebert.doc,Signature,Done,162,File,doc,2008-05-15T12:44:06,FALSE,4b63e4e1078c375ea8f21ae72fdb99bc,1,fmt/473,,Microsoft Office Owner File,
100,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24leno.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$leno.doc,~$leno.doc,Signature,Done,162,File,doc,2008-05-13T06:01:10,FALSE,59bba8649025f8b5e66041a566525d24,1,fmt/473,,Microsoft Office Owner File,
103,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7E%24w%20hampshire.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~$w hampshire.doc,~$w hampshire.doc,Signature,Done,162,File,doc,2008-06-21T14:32:32,FALSE,f8e541a1d96348ce46a225f14fac1708,1,fmt/473,,Microsoft Office Owner File,
105,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/%7EWRL2452.tmp,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/~WRL2452.tmp,~WRL2452.tmp,Container,Done,34816,File,tmp,2008-05-09T13:04:26,TRUE,8f9d849490f27ea9f80f79f5fc3c2f6d,1,fmt/40,application/msword,Microsoft Word Document,97-2003
109,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Grinspoon.medicalAFFADAVIT.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Grinspoon.medicalAFFADAVIT.doc,Grinspoon.medicalAFFADAVIT.doc,Container,Done,47616,File,doc,2008-09-30T17:35:08,FALSE,f8e360aaecb31519009f84ed408fff68,1,fmt/40,application/msword,Microsoft Word Document,97-2003
108,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/JohnJayInstructions.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/JohnJayInstructions.doc,JohnJayInstructions.doc,Container,Done,27648,File,doc,2008-04-23T08:14:32,FALSE,69af9d353c9f535f62e7e288437f7ee5,1,fmt/40,application/msword,Microsoft Word Document,97-2003
115,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Juries%20as%20Judges.pdf,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Juries as Judges.pdf,Juries as Judges.pdf,Signature,Done,1023485,File,pdf,2008-05-09T11:47:04,FALSE,16e01f3032223c539ed765a3c9a0494e,1,fmt/18,application/pdf,Acrobat PDF 1.4 - Portable Document Format,1.4
112,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Notes.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Notes.doc,Notes.doc,Container,Done,29696,File,doc,2008-03-06T07:38:58,FALSE,dc5653d9c6884a4ebe9b619b1391f554,1,fmt/40,application/msword,Microsoft Word Document,97-2003
116,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Press%20Release%201.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Press Release 1.doc,Press Release 1.doc,Container,Done,26624,File,doc,2006-09-07T15:40:46,FALSE,0fab9d17ccdad81412235fd268adeea8,1,fmt/40,application/msword,Microsoft Word Document,97-2003
117,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Question%20Presented.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Question Presented.doc,Question Presented.doc,Container,Done,24064,File,doc,2008-05-04T10:14:22,FALSE,2c3aa8d33ed61f6f3abbed1ea43d24f1,1,fmt/40,application/msword,Microsoft Word Document,97-2003
